Socio-Demographic Variables,Crime Types,Coefficient
Hardship Index,ARSON,5.8740169464491895e-05
Per Capita Income,ARSON,1.127999246381802e-08
Percent Aged 16+ Unemployed,ARSON,1.199173522492219e-06
Percent Aged 25+ Without High School Diploma,ARSON,3.238440034990657e-05
Percent Aged Under 18 Or Over 64,ARSON,-1.2333033984301869e-05
Percent Households Below Poverty,ARSON,-5.270760107043394e-05
Percent Of Housing Crowded,ARSON,-0.00012588854054829357
Hardship Index,ASSAULT,-0.00025634525155274386
Per Capita Income,ASSAULT,-1.1785622150351225e-07
Percent Aged 16+ Unemployed,ASSAULT,0.0006139063675557274
Percent Aged 25+ Without High School Diploma,ASSAULT,0.0002402031369753044
Percent Aged Under 18 Or Over 64,ASSAULT,0.0009050746739593697
Percent Households Below Poverty,ASSAULT,0.0003599722555450975
Percent Of Housing Crowded,ASSAULT,0.00024307119095601844
Hardship Index,BATTERY,0.0012045422863452859
Per Capita Income,BATTERY,8.161332833758186e-08
Percent Aged 16+ Unemployed,BATTERY,0.0005192449866667347
Percent Aged 25+ Without High School Diploma,BATTERY,-0.0009926224491133909
Percent Aged Under 18 Or Over 64,BATTERY,0.00046443247881819373
Percent Households Below Poverty,BATTERY,0.00018737913931098516
Percent Of Housing Crowded,BATTERY,0.0010846895624200704
Hardship Index,BURGLARY,-0.00047138477238803936
Per Capita Income,BURGLARY,-3.6615199238267874e-07
Percent Aged 16+ Unemployed,BURGLARY,-1.268998669714112e-05
Percent Aged 25+ Without High School Diploma,BURGLARY,0.0005091657896133778
Percent Aged Under 18 Or Over 64,BURGLARY,0.0005078396625715733
Percent Households Below Poverty,BURGLARY,-0.0002172404105276333
Percent Of Housing Crowded,BURGLARY,-0.0007845302694414651
Hardship Index,CRIMINAL DAMAGE,-0.000748544689974164
Per Capita Income,CRIMINAL DAMAGE,-7.810920988868721e-07
Percent Aged 16+ Unemployed,CRIMINAL DAMAGE,0.00064244653455421
