Class,Metric,Score
ARSON,Precision,0.9807692307692307
ASSAULT,Precision,0.9859207113745831
BATTERY,Precision,0.9910401246591352
BURGLARY,Precision,0.9809228039041704
CRIMINAL DAMAGE,Precision,0.9552462526766595
CRIMINAL SEXUAL ASSAULT,Precision,0.9729166666666667
CRIMINAL TRESPASS,Precision,0.8373173970783533
HOMICIDE,Precision,0.9940119760479041
INTIMIDATION,Precision,0.7692307692307693
KIDNAPPING,Precision,0.0
MOTOR VEHICLE THEFT,Precision,0.996921322690992
NARCOTICS,Precision,0.9717405266538215
OBSCENITY,Precision,0.0
OFFENSE INVOLVING CHILDREN,Precision,0.7116935483870968
PROSTITUTION,Precision,0.890625
PUBLIC PEACE VIOLATION,Precision,0.84375
ROBBERY,Precision,0.9847480106100795
SEX OFFENSE,Precision,0.7152103559870551
STALKING,Precision,0.9838709677419355
THEFT,Precision,0.9987238238876965
WEAPONS VIOLATION,Precision,0.8868894601542416
Other,Precision,0.0
ARSON,Recall,0.33116883116883117
ASSAULT,Recall,0.9998121360135263
BATTERY,Recall,1.0
BURGLARY,Recall,0.9852941176470589
CRIMINAL DAMAGE,Recall,0.9889159831522943
CRIMINAL SEXUAL ASSAULT,Recall,0.9628865979381444
CRIMINAL TRESPASS,Recall,0.8911660777385159
HOMICIDE,Recall,0.8829787234042553
INTIMIDATION,Recall,0.14285714285714285
KIDNAPPING,Recall,0.0
MOTOR VEHICLE THEFT,Recall,0.9970350096932376
NARCOTICS,Recall,0.9636942675159236
OBSCENITY,Recall,0.0
OFFENSE INVOLVING CHILDREN,Recall,0.699009900990099
PROSTITUTION,Recall,0.9047619047619048
PUBLIC PEACE VIOLATION,Recall,0.2084942084942085
ROBBERY,Recall,1.0
SEX OFFENSE,Recall,0.5538847117794486
STALKING,Recall,0.391025641025641
THEFT,Recall,0.9997677254514836
WEAPONS VIOLATION,Recall,0.8756345177664975
Other,Recall,0.0
ARSON,F1-Score,0.49514563106796117
ASSAULT,F1-Score,0.9928178341572614
BATTERY,F1-Score,0.9954999021717863
BURGLARY,F1-Score,0.9831036016007114
CRIMINAL DAMAGE,F1-Score,0.9717895654068184
CRIMINAL SEXUAL ASSAULT,F1-Score,0.9678756476683937
CRIMINAL TRESPASS,F1-Score,0.8634029441971928
HOMICIDE,F1-Score,0.9352112676056338
INTIMIDATION,F1-Score,0.24096385542168675
KIDNAPPING,F1-Score,0.0
MOTOR VEHICLE THEFT,F1-Score,0.9969781629511375
NARCOTICS,F1-Score,0.9677006715701951
OBSCENITY,F1-Score,0.0
OFFENSE INVOLVING CHILDREN,F1-Score,0.7052947052947053
PROSTITUTION,F1-Score,0.8976377952755905
PUBLIC PEACE VIOLATION,F1-Score,0.33436532507739936
ROBBERY,F1-Score,0.9923154026060809
SEX OFFENSE,F1-Score,0.6242937853107344
STALKING,F1-Score,0.5596330275229358
THEFT,F1-Score,0.9992455020313407
WEAPONS VIOLATION,F1-Score,0.8812260536398467
Other,F1-Score,0.0
